#TYPE System.Management.Automation.PSCustomObject
"IsNet6","URL","Name","Size","SHA1"
"False","https://f001.backblazeb2.com/file/EricZimmermanTools/Get-ZimmermanTools.zip","Get-ZimmermanTools.zip","15158","06f13156bd3d996208acc9e6a0cd972b084497e4"
"False","https://f001.backblazeb2.com/file/EricZimmermanTools/AmcacheParser.zip","AmcacheParser.zip","4416262","3c21230732f4f952a7a3063fb801b17668c8214b"
"True","https://f001.backblazeb2.com/file/EricZimmermanTools/net6/AmcacheParser.zip","AmcacheParser.zip","2282279","934918cb058b88cfe23a14f87aa311de6a9f0f64"
"False","https://f001.backblazeb2.com/file/EricZimmermanTools/AppCompatCacheParser.zip","AppCompatCacheParser.zip","4358362","dc3df3171b66ed6495c0fc4985a10060f34c6047"
"True","https://f001.backblazeb2.com/file/EricZimmermanTools/net6/AppCompatCacheParser.zip","AppCompatCacheParser.zip","2127928","d5c2f096d38a93e361c49e0653f7096e6e2f859f"
"False","https://f001.backblazeb2.com/file/EricZimmermanTools/bstrings.zip","bstrings.zip","3667557","faefb23473a58213ef97938eba3e93c91ae42a44"
"True","https://f001.backblazeb2.com/file/EricZimmermanTools/net6/bstrings.zip","bstrings.zip","1473298","9c4938fbca5be11787140962a36e0f919938daec"
"False","https://f001.backblazeb2.com/file/EricZimmermanTools/EvtxECmd.zip","EvtxECmd.zip","5278734","722a4ee286de8119225ab782216e918cc063babf"
"True","https://f001.backblazeb2.com/file/EricZimmermanTools/net6/EvtxECmd.zip","EvtxECmd.zip","3195208","475c44188ec0479cd229eba99ebec981cf57c0d1"
"False","https://f001.backblazeb2.com/file/EricZimmermanTools/EZViewer.zip","EZViewer.zip","73114127","48d6ae2a20468f0b884fd0fb5fbf92f2678edcfe"
"True","https://f001.backblazeb2.com/file/EricZimmermanTools/net6/EZViewer.zip","EZViewer.zip","82580608","0a3fdc11f35a5b6a756326e798bd5209d38c935a"
